"file_in";"ObjAB";"ObjAG";"ObjAGN";"ObjArt";"ObjArtN";"Geometrie";"Feld_in";"Quelle";"Dateiname_out";"Feld_out";"Wert_out";"Prioritaet";"Out_ID1";"outPath";"inPath"
"Solaranlage.shp";"UmweltVersorgung";1300;"IndustrieAnlage";"1300_007";"Solaranlage";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerIndustrieUndGewerbe";"BWF";"1230";3;"gml_id";"C:/HochschuleBochum/Daten/Herdecke/ATKIS_rename/AX_BauwerkOderAnlageFuerIndustrieUndGewerbe.shp";"C:/HochschuleBochum/Daten/Herdecke/SimUSys_modelData/UmweltVersorgung/1300_IndustrieAnlage/1300_007_Solaranlage.shp"
"Windkraftanlage.shp";"UmweltVersorgung";1300;"IndustrieAnlage";"1300_009";"Windkraftanlage";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerIndustrieUndGewerbe";"BWF";"1220";3;"gml_id";"C:/HochschuleBochum/Daten/Herdecke/ATKIS_rename/AX_BauwerkOderAnlageFuerIndustrieUndGewerbe.shp";"C:/HochschuleBochum/Daten/Herdecke/SimUSys_modelData/UmweltVersorgung/1300_IndustrieAnlage/1300_009_Windkraftanlage.shp"
"Biogasanlage.shp";"UmweltVersorgung";1300;"IndustrieAnlage";"1300_001";"Biogasanlage";"Point";"nurGeometrie";"ALKIS";"AX_BauwerkOderAnlageFuerIndustrieUndGewerbe";"BWF";"1215";2;"gml_id";"C:/HochschuleBochum/Daten/Herdecke/ATKIS_rename/AX_BauwerkOderAnlageFuerIndustrieUndGewerbe.shp";"C:/HochschuleBochum/Daten/Herdecke/SimUSys_modelData/UmweltVersorgung/1300_IndustrieAnlage/1300_001_Biogasanlage.shp"
"Hydrant.shp";"POI";1000;"Grundversorgung";"1000_002";"Hydrant";"Point";"nurGeometrie";"ALKIS";"AX_BauwerkOderAnlageFuerIndustrieUndGewerbe";"BWF";"1370";2;"gml_id";"C:/HochschuleBochum/Daten/Herdecke/ATKIS_rename/AX_BauwerkOderAnlageFuerIndustrieUndGewerbe.shp";"C:/HochschuleBochum/Daten/Herdecke/SimUSys_modelData/POI/1000_Grundversorgung/1000_002_Hydrant.shp"
"Hydrant.shp";"POI";1000;"Grundversorgung";"1000_002";"Hydrant";"Point";"nurGeometrie";"ALKIS";"AX_BauwerkOderAnlageFuerIndustrieUndGewerbe";"BWF";"1371";2;"gml_id";"C:/HochschuleBochum/Daten/Herdecke/ATKIS_rename/AX_BauwerkOderAnlageFuerIndustrieUndGewerbe.shp";"C:/HochschuleBochum/Daten/Herdecke/SimUSys_modelData/POI/1000_Grundversorgung/1000_002_Hydrant.shp"
"Hydrant.shp";"POI";1000;"Grundversorgung";"1000_002";"Hydrant";"Point";"nurGeometrie";"ALKIS";"AX_BauwerkOderAnlageFuerIndustrieUndGewerbe";"BWF";"1372";2;"gml_id";"C:/HochschuleBochum/Daten/Herdecke/ATKIS_rename/AX_BauwerkOderAnlageFuerIndustrieUndGewerbe.shp";"C:/HochschuleBochum/Daten/Herdecke/SimUSys_modelData/POI/1000_Grundversorgung/1000_002_Hydrant.shp"
"Forschungsinstitut.shp";"POI";3000;"BildungBetreuung";"3000_002";"Forschungsinstitut";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_FlaecheBesondererFunktionalerPraegung";"FKT";"1120";2;"gml_id";"C:/HochschuleBochum/Daten/Herdecke/ATKIS_rename/AX_FlaecheBesondererFunktionalerPraegung.shp";"C:/HochschuleBochum/Daten/Herdecke/SimUSys_modelData/POI/3000_BildungBetreuung/3000_002_Forschungsinstitut.shp"
"Leitung.shp";"Netzwerke";1100;"Netzwerke";"1100_005";"Leitung";"Line";"nurGeometrie";"ATKIS/ALKIS";"AX_Leitung";"";"";3;"gml_id";"C:/HochschuleBochum/Daten/Herdecke/ATKIS_rename/AX_Leitung.shp";"C:/HochschuleBochum/Daten/Herdecke/SimUSys_modelData/Netzwerke/1100_Netzwerke/1100_005_Leitung.shp"
"Schutzgebiet.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_024";"Schutzgebiet";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_NaturUmweltOderBodenschutzrecht";"";"";3;"gml_id";"C:/HochschuleBochum/Daten/Herdecke/ATKIS_rename/AX_NaturUmweltOderBodenschutzrecht.shp";"C:/HochschuleBochum/Daten/Herdecke/SimUSys_modelData/POI/6000_UnterhaltungSportNaherholung/6000_024_Schutzgebiet.shp"
"Ausgleichsflaeche.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_023";"Ausgleichsflaeche";"Point";"nurGeometrie";"ALKIS";"AX_NaturUmweltOderBodenschutzrecht";"ADF";"1656";2;"gml_id";"C:/HochschuleBochum/Daten/Herdecke/ATKIS_rename/AX_NaturUmweltOderBodenschutzrecht.shp";"C:/HochschuleBochum/Daten/Herdecke/SimUSys_modelData/POI/6000_UnterhaltungSportNaherholung/6000_023_Ausgleichsflaeche.shp"
"PKWParkplatz.shp";"POI";5000;"Mobilitaet";"5000_004";"PKWParkplatz";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Platz";"FKT";"5310";3;"gml_id";"C:/HochschuleBochum/Daten/Herdecke/ATKIS_rename/AX_Platz.shp";"C:/HochschuleBochum/Daten/Herdecke/SimUSys_modelData/POI/5000_Mobilitaet/5000_004_PKWParkplatz.shp"
"Adresse.shp";"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_005";"Adresse";"Polygon";"nurGeometrie";"Staedtepartner";"HU_HUExport_NW.shp";"";"";1;"OldID_str";"C:/HochschuleBochum/Daten/Herdecke/Hausumringe/HU_HUExport_NW.shp";"C:/HochschuleBochum/Daten/Herdecke/SimUSys_modelData/PlanungsEinheiten/8000_PlanungsEinheiten/8000_005_Adresse.shp"
