varName;Deutsch;English;useInRule_1;Col5;Col6;Col7;Col8;shortNames;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17
oGeom;Lage/Geometrie;Location/geometry;0;;;;;;;;;;;;;
OrtNm;Ortsnamen;Place names;0;;;;;;;;;;;;;
Quali;Qualit‰t;Quality;0;;;;;;;;;;;;;
Spezi;Spezialisierung;Specilisation;0;;;;;;;;;;;;;
AusLas;Auslastung;Usage rate;0;;;;;;;;;;;;;
AlterB;Alter des Betreibers;Age of the owner;0;;;;;;;;;;;;;
AlterN;Alter der Nutzer;Age of the users;0;;;;;;;;;;;;;
WrtZeit;Wartezeit;Waiting time;0;;;;;;;;;;;;;
Flaech;Fl‰chengrˆﬂe;Area size;0;;;;;;;;;;;;;
Mitgld;Mitglieder;Members;0;;;;;;;;;;;;;
BarArm;Barrierearmut;Barrier free;0;;;;;;;;;;;;;
Kosten;Kosten;Costs;0;;;;;;;;;;;;;
EigSen;Eignung f¸r Senioren;Fits needs of senior citizens;0;;;;;;;;;;;;;
EigFam;Eignung f¸r Familien;Fits needs of families;0;;;;;;;;;;;;;
EigJug;Eignung f¸r Jugendliche;Fits needs for youngsters;0;;;;;;;;;;;;;
EigAlt;Eignung f¸r Erwachsene;Fits needs of grown ups;0;;;;;;;;;;;;;
EigBeh;Eignung f¸r behinderte Menschen;Fits needs of handicaped people;0;;;;;;;;;;;;;
EigMig;Eigenung f¸r Menschen mit Migrationshintergrund;Fits needs of people with migratory background;0;;;;;;;;;;;;;
Oeff;in ˆffentlicher Hand;Public ownership;0;;;;;;;;;;;;;
Quelle;Datenquelle;Data source;0;;;;;;;;;;;;;
Name;Name;Name;0;;;;;;;;;;;;;
GebJahr;Geb‰udebaujahr;Building construction year;0;;;;;;;;;;;;;
GebNutz;Geb‰udenutzung;Use of Building;0;;;;;;;;;;;;;
GrdTief;Grundst¸ckstiefe;Realty ground area depth;0;;;;;;;;;;;;;
GrdBreit;Grundst¸cksbreite;Realty ground area width;0;;;;;;;;;;;;;
GrdTiefV;Grundst¸ckstiefenverh‰ltnis (Breite/Tiefe);Realty ground area ratio (width/depth);0;;;;;;;;;;;;;
Leerst;Leerstand;Vacant building/flat/store;0;;;;;;;;;;;;;
NEinw;Einwohneranzahl;Number of citizens;0;;;;;;;;;;;;;
AltN_AV;Durchschnittsalter;Mean age;0;;;;;;;;;;;;;
AltN_MN;Mindestalter;Minimum age;0;;;;;;;;;;;;;
AltN_MX;Hˆchstalter;Maximum age;0;;;;;;;;;;;;;
NArbLos;Anzahl bzw. Anteil der Arbeitslosen;Number unemployed citizens;-0.8;;;;;;;;;;;;;
Nhaush;Anzahl bzw. Anteil der Haushaulte;Number or proportion of households;0;;;;;;;;;;;;;
Nmig;Anzahl bzw. Anteil der Menschen mit Migrationshintergrund;Number or proportion of citizens with migratory background;0;;;;;;;;;;;;;
NSoziHi;Anzahl bzw. Anteil der Sozialhilfeempf‰nger;Number or proportion of people receiving social aid;0;;;;;;;;;;;;;
NSoBesch;Anzahl bzw. Anteil der sozialversicherungspflichtig Besch‰ftigten;Number or proportion of employed citizens with tax payments;0;;;;;;;;;;;;;
NSenMob;Anzahl bzw. Anteil Senioren/Mobilit‰tseingeschr‰nkte B¸rger;Number or proportion of senior citizens/mobility handicaped citizens;0;;;;;;;;;;;;;
NKitaK;Anzahl bzw. Anteil Kinder im Kitaalter;Number or proportion of children in daycare age;0;;;;;;;;;;;;;
NKindgK;Anzahl bzw. Anteil Kinder im Kindergartenalter;Number or proportion of children in kindergarten age;0;;;;;;;;;;;;;
NGrundS;Anzahl bzw. Anteil Kinder im Grundschulalter;Number or proportion of children in primary school age;0;;;;;;;;;;;;;
NJugend;Anzahl bzw. Anteil Jugendliche;Number or proportion of youngsters;0;;;;;;;;;;;;;
NErwJ;Anzahl bzw. Anteil junger Erwachsener;Number or proportion of young adults;0;;;;;;;;;;;;;
NErwA;Anzahl bzw. Anteil reifer Erwachsener;Number or proportion of grown up adults;0;;;;;;;;;;;;;
NEinzel;Anzahl bzw. Anteil Alleinstehender;Number or proportion of singles;0;;;;;;;;;;;;;
ZielKind;Anzahl bzw. Anteil in Zielgruppe Kinder;Number in target group children;0;;;;;;;;;;;;;
ZielStud;Anzahl bzw. Anteil in Zielgrupppe Studenten;Number in target group students;0;;;;;;;;;;;;;
Zufried;Zufriedenheit;Satisfaction;0;;;;;;;;;;;;;
NEinpend;Anzahl bzw. Anteil Einpendler;Number or proportion of inwards commuters;0;;;;;;;;;;;;;
NAuspend;Anzahl bzw. Anteil Auspendler;Number or proportion of outwards commuters;0;;;;;;;;;;;;;
EinwHaus;Einwohner pro Haushalt;Citizens per household;0;;;;;;;;;;;;;
FamSt;Familienstatus;Maritial status;0;;;;;;;;;;;;;
Gesch_F;Anzahl bzw. Anteil Frauen;Number or proportion of women;0;;;;;;;;;;;;;
Gesch_M;Anzahl bzw. Anteil M‰nner;Number or proportion of men;0;;;;;;;;;;;;;
SozGRP;Soziale Gruppe;Social group;0;;;;;;;;;;;;;
MitglSprt;Mitglieder im Sportverein (Anzahl bzw. Anteil);Number or proportion of members in sports clubs;0;;;;;;;;;;;;;
sozSt;Sozialer Status;Social status;0;;;;;;;;;;;;;
sozWohbau;Sozialer Wohnungsbau;Social housing;0;;;;;;;;;;;;;
Zuzug;Zuzug (Anzahl bzw. Anteil);Moving in (number or proportion);0;;;;;;;;;;;;;
FortZug;Fortzug (Anzahl bzw. Anteil);Moving out (numer or proportion);0;;;;;;;;;;;;;
BrBndQ;Qualit‰t des Breitbandanschlusses;Quality of highspeed internet;0;;;;;;;;;;;;;
EneVer;Energieverbrauch;Energy usage;0;;;;;;;;;;;;;
MuellP;M¸llproduktion;Waste production;0;;;;;;;;;;;;;
WssPr;Wasserpreis;Price for tap water;0;;;;;;;;;;;;;
WssVerb;Wasserverbrauch;Water usage;0;;;;;;;;;;;;;
Nausb;Anzahl bzw. Anteil der Ausbildungspl‰tze;Number or proportion of apprenticeship places;0;;;;;;;;;;;;;
GemFinz;Gemeindefinanzen;Municipal finances;0;;;;;;;;;;;;;
GewFl;Gewerbefl‰che;Industrial area;0;;;;;;;;;;;;;
Kfkraft;Kaufkraft;Buying power;0;;;;;;;;;;;;;
MitSpg;Mietspiegel/Immobilienrichtwert;Rent index;-0.8;;;;;;;;;;;;;
BdRwrt;Bodenrichtwert;Ground value;-0.8;;;;;;;;;;;;;
ResAb;Rohstoffabbaufl‰che;Mining site for natural resources;0;;;;;;;;;;;;;
Rlag;Rohstoffresourcen;Natural resources;0;;;;;;;;;;;;;
Tursm;Touristische Wirksamkeit;Tourist effectiveness;0;;;;;;;;;;;;;
BGP;Wertschˆpfungsvolumen;Gross product;0;;;;;;;;;;;;;
BarUmb;Jahr einer Umbaumaﬂnahme f¸r Barrierefreiheit;Year of renovation for less barriers;0;;;;;;;;;;;;;
EnrSan;Jahr einer energetischen Sanierung;Year of renovation for energy savings;0;;;;;;;;;;;;;
KliAnp;Jahr einer Maﬂnahme zum Klimaschutz;Year of intvention for climatic adaptation/mitigiation;0;;;;;;;;;;;;;
DenkM;Denkmalschutz;Protection of historic sites;0;;;;;;;;;;;;;
BauLas;Baulast;Construction obligation;0;;;;;;;;;;;;;
BdArt;Bodenart;Soil character;0;;;;;;;;;;;;;
AckZahl;Ackerzahl;Average field quality;0;;;;;;;;;;;;;
GrnLZahl;Gr¸nlandzahl;Average green land quality;0;;;;;;;;;;;;;
BdSen;Bodensenkung;Ground submergence;0;;;;;;;;;;;;;
BrandL;Brandlast;Fire load;0;;;;;;;;;;;;;
HWssrR;Hochwasser-/Starkregenrisiko;Flooding/heavy rain risk;0;;;;;;;;;;;;;
KrimR;Kriminalit‰tsrate;Crime rate;-0.8;;;;;;;;;;;;;
KFZB;Anzahl bzw. Anteil der KFZ-Besitzer;Number or proportion of car owners;0;;;;;;;;;;;;;
Takt;Taktung;Phases;0;;;;;;;;;;;;;
BarArt;Barriereart;Sort of barrier;0;;;;;;;;;;;;;
BarGrav;Einschr‰nkungsausmaﬂ;Degree of restriction;0;;;;;;;;;;;;;
UnthKost;Unterhaltungskosten;Costs for maintainance;0;;;;;;;;;;;;;
MaxSp;Hˆchstgeschwindigkeit;Maximum velocity;0;;;;;;;;;;;;;
MeanSp;Durchschnittsgeschwindigkeit;Mean velocity;0;;;;;;;;;;;;;
FahrZt;Fahrtzeit;Travel time;0;;;;;;;;;;;;;
Einbahn;Einbahnstraﬂe;Oneway;0;;;;;;;;;;;;;
Tunnel;Tunnel;Tunnel;0;;;;;;;;;;;;;
Bruecke;Br¸cke;Bridge;0;;;;;;;;;;;;;
UnfDich;Verkehrsunfalldichte;Traffic accident rate;0;;;;;;;;;;;;;
LeitEff;Leitungseffizienz;Conductance efficiency;0;;;;;;;;;;;;;
BioDiv;Biodiversit‰tsindex;Biodiversity index;0.8;;;;;;;;;;;;;
ObAbfl;Oberfl‰chenabfluss;Surface runoff;0;;;;;;;;;;;;;
GwStrG;Gew‰sserstrukturg¸te;Structual quality of water bodies;0;;;;;;;;;;;;;
GwG;Gew‰sserg¸te;Water quality;0;;;;;;;;;;;;;
GrdNBld;Grundwasserneubildung;Ground water refill rate;0;;;;;;;;;;;;;
LrmBel;L‰rmbelastung;Noice polution;-0.8;;;;;;;;;;;;;
LftVers;Luftverschmutzung;Air polution;0;;;;;;;;;;;;;
BdArt;Bodenbedeckung;Surface material;0;;;;;;;;;;;;;
Versieg;Versiegelung;Soil sealing;-0.8;;;;;;;;;;;;;
AngEnw;Anzahl bzw. Anteil angeschlossener Einwohner;Number or proportion of connected citizens;0;;;;;;;;;;;;;
Prod;Produktionsvolumen;Production volume;0;;;;;;;;;;;;;
AltLas;Altlastenart;Sort of polution legacy;0;;;;;;;;;;;;;
Biotop;Biotopbezeichnung;Biotop name;0;;;;;;;;;;;;;
Geotop;Geotopenbezeichnung;Geotop name;0;;;;;;;;;;;;;
GrWsSp;Grundwasserspiegel;Ground water table;0;;;;;;;;;;;;;
Nied;Niederschlag;Precipitation;0;;;;;;;;;;;;;
Verd;Verdunstung;Evaporation;0;;;;;;;;;;;;;
Windr;Vorherrschende Windrichtung;Predominant wind direction;0;;;;;;;;;;;;;
Winds;Windst‰rke;Wind velocity;0;;;;;;;;;;;;;
SonnE;Sonneneinstrahlung;Solar radiation;0;;;;;;;;;;;;;
kfw;Hydraulische Leitf‰higkeit;Hydraulic conductance;0;;;;;;;;;;;;;
besArt;Vorkommen besonderer Arten;Presence of rare species;0;;;;;;;;;;;;;
wKind;Anzahl der Wohlf¸hlpunkte f¸r Zielgruppe - Kinder;Number of feel good points for target group children;0;;;;;;;;;;;;;
wJugend;Anzahl der Wohlf¸hlpunkte f¸r Zielgruppe - Jugendliche;Number of feel good points for target group youngsters;0;;;;;;;;;;;;;
wStudent;Anzahl der Wohlf¸hlpunkte f¸r Zielgruppe - Studenten/Auszubildende;Number of feel good points for target group students;0;;;;;;;;;;;;;
wSingle;Anzahl der Wohlf¸hlpunkte f¸r Zielgruppe - Singles oder kinderloses Paare;Number of feel good points for target group singles or childless couples;0;;;;;;;;;;;;;
wSenior;Anzahl der Wohlf¸hlpunkte f¸r Zielgruppe - Senioren/Mobilit‰tseingeschr‰nkte;Number of feel good points for target group senior citizens and mobility impaired citizens;0;;;;;;;;;;;;;
wMigra;Anzahl der Wohlf¸hlpunkte f¸r Zielgruppe - Migrationshintergrund;Number of feel good points for target group migratory background;0;;;;;;;;;;;;;
wFrau;Anzahl der Wohlf¸hlpunkte f¸r Zielgruppe - Frauen;Number of feel good points for target group women;0;;;;;;;;;;;;;
wMann;Anzahl der Wohlf¸hlpunkte f¸r Zielgruppe - M‰nner;Number of feel good points for target group men;0;;;;;;;;;;;;;
wohl;Wohlf¸hlpunkte;Feel good point ;0;;;;;;;;;;;;;
unwohl;Unwohlf¸hlpunkte;Do not feel well point;0;;;;;;;;;;;;;
wohlUn;Raumattraktivit‰t;Spatial attractiveness;0;;;;;;;;;;;;;
F1000_001;fuﬂl‰ufig zur n‰chsten Feuerwehr;walking to the next fire station;0;F;1000_001;zur n‰chsten;Feuerwehr;Feuerwehr;;to the next;Fire station;fire station;fuﬂl‰ufig;fuﬂl‰ufig zur n‰chsten;walking;walking to the next
