"POI";"POI_type";"PlanungsEinheiten";"PlanungsEinheiten_type";"Netzwerke";"Netzwerke_type";"UmweltVersorgung";"UmweltVersorgung_type";"AnalysenErgebnisse";"AnalysenErgebnisse_type"
"ObjID";"Short Integer";"ObjID";"Double";"ObjID";"Short Integer";"ObjID";"Short Integer";"ObjID";"Short Integer"
"ObjAB";"String";"ObjAB";"String";"ObjAB";"String";"ObjAB";"String";"ObjAB";"String"
"ObjAG";"Short Integer";"ObjAG";"Double";"ObjAG";"Short Integer";"ObjAG";"Short Integer";"ObjAG";"Short Integer"
"ObjAGN";"String";"ObjAGN";"String";"ObjAGN";"String";"ObjAGN";"String";"ObjAGN";"String"
"ObjArt";"Short Integer";"ObjArt";"Double";"ObjArt";"Short Integer";"ObjArt";"Short Integer";"ObjArt";"Short Integer"
"ObjArtN";"String";"ObjArtN";"String";"ObjArtN";"String";"ObjArtN";"String";"ObjArtN";"String"
"KooN";"Double";"KooN";"Double";"KooN";"Double";"KooN";"Double";"KooN";"Double"
"KooE";"Double";"KooE";"Double";"KooE";"Double";"KooE";"Double";"KooE";"Double"
"Str";"String";"Str";"String";"Str";"String";"Str";"String";"wKind";"Double"
"Hsnr";"String";"Hsnr";"String";"Hsnr";"String";"Hsnr";"String";"wJugend";"Double"
"Zusatz";"String";"Zusatz";"String";"Zusatz";"String";"Zusatz";"String";"wStudent";"Double"
"PLZ";"Short Integer";"PLZ";"Double";"PLZ";"Short Integer";"PLZ";"Short Integer";"wSingle";"Double"
"OrtNm";"String";"AdrID";"String";"OrtNm";"String";"OrtNm";"String";"wSenior";"Double"
"AdrID";"String";"OrtNm";"String";"AdrID";"String";"AdrID";"String";"wMigra";"Double"
"Quali";"Short Integer";"Name";"String";"Takt";"Double";"Quali";"Short Integer";"wFrau";"Double"
"Spezi";"String";"BarArm";"Double";"BarArt";"String";"Spezi";"String";"wMann";"Double"
"AusLas";"Short Integer";"GebJahr";"Double";"BarGrav";"Short Integer";"AusLas";"Short Integer";"uKind";"Double"
"AlterB";"Short Integer";"GebNutz";"String";"Quali";"Short Integer";"BioDiv";"Double";"uJugend";"Double"
"AlterN";"Short Integer";"Leerst";"Double";"UnthKost";"Double";"ObAbfl";"Double";"uStudent";"Double"
"WrtZeit";"Double";"GschZahl";"Double";"MaxSp";"Short Integer";"GwStrG";"Short Integer";"uSingle";"Double"
"Flaech";"Double";"GrdTief";"Double";"MeanSp";"Double";"GwG";"Short Integer";"uSenior";"Double"
"Mitgld";"Short Integer";"GrdBreit";"Double";"FahrZt";"Double";"GrdNBld";"Double";"uMigra";"Double"
"BarArm";"Short Integer";"GrdTiefV";"Double";"Einbahn";"Short Integer";"LrmBel";"Short Integer";"uFrau";"Double"
"Kosten";"Short Integer";"NEinw";"Double";"Tunnel";"Short Integer";"LftVers";"Short Integer";"uMann";"Double"
"EigSen";"Short Integer";"AltN_AV";"Double";"Bruecke";"Short Integer";"BdArt";"String";"wohl";"Double"
"EigFam";"Short Integer";"AltN_MN";"Double";"AusLas";"Short Integer";"Versieg";"Short Integer";"unwohl";"Double"
"EigJug";"Short Integer";"AltN_MX";"Double";"UnfDich";"Double";"AngEnw";"Short Integer";"wohlUn";"Double"
"EigAlt";"Short Integer";"NArbLos";"Double";"LeitEff";"Double";"Prod";"Double";"Grund1";"String"
"EigBeh";"Short Integer";"Nhaush";"Double";"Oeff";"Short Integer";"AltLas";"String";"Grund2";"String"
"EigMig";"Short Integer";"Nmig";"Double";"Quelle";"String";"Biotop";"String";"Grund3";"String"
"Oeff";"Short Integer";"NSoziHi";"Double";"OldID";"String";"Geotop";"String";"Bemerkung";"String"
"Quelle";"String";"NSoBesch";"Double";"0";"0";"GrWsSp";"Double";"OldID";"String"
"OldID";"String";"NSenMob";"Double";"0";"0";"Nied";"Double";"0";"0"
"0";"0";"NKitaK";"Double";"0";"0";"Verd";"Double";"0";"0"
"0";"0";"NKindgK";"Double";"0";"0";"Windr";"String";"0";"0"
"0";"0";"NGrundS";"Double";"0";"0";"Winds";"Double";"0";"0"
"0";"0";"NJugend";"Double";"0";"0";"SonnE";"Double";"0";"0"
"0";"0";"NErwJ";"Double";"0";"0";"kfw";"Double";"0";"0"
"0";"0";"NErwA";"Double";"0";"0";"besArt";"Short Integer";"0";"0"
"0";"0";"NEinzel";"Double";"0";"0";"Oeff";"Short Integer";"0";"0"
"0";"0";"ZielKind";"Double";"0";"0";"Quelle";"String";"0";"0"
"0";"0";"ZielStud";"Double";"0";"0";"OldID";"String";"0";"0"
"0";"0";"Zufried";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"NEinpend";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"NAuspend";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"EinwHaus";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"FamSt";"String";"0";"0";"0";"0";"0";"0"
"0";"0";"Nledig";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Nverheir";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Nverwit";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Ngschied";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Gesch_F";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Gesch_M";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"SozSchich";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"NSozSch1";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"NSozSch2";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"NSozSch3";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"MitglSprt";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"sozSt";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"sozWohbau";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Zuzug";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"FortZug";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"BrBndQ";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"EnerKost";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"StrmVbr";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"GasVbr";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"FernwVbr";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"MuellP";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"WssPr";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"WssVerb";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Nausb";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"GemFinz";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"GewFl";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Kfkraft";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"MitSpg";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"BdRwrt";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Lagwrt";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"ResAb";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Rlag";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Tursm";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"BGP";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"BarUmb";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"EnrSan";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"KliAnp";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"DenkM";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"BauLas";"String";"0";"0";"0";"0";"0";"0"
"0";"0";"BdArt";"String";"0";"0";"0";"0";"0";"0"
"0";"0";"AckZahl";"String";"0";"0";"0";"0";"0";"0"
"0";"0";"GrnLZahl";"String";"0";"0";"0";"0";"0";"0"
"0";"0";"BdSen";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"BrandL";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"HWssrR";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"KrimR";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"KFZB";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Oeff";"Double";"0";"0";"0";"0";"0";"0"
"0";"0";"Quelle";"String";"0";"0";"0";"0";"0";"0"
"0";"0";"OldID";"String";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
