"file_in";"ObjAB";"ObjAG";"ObjAGN";"ObjArt";"ObjArtN";"Geometrie";"Feld_in";"Quelle";"Dateiname_out";"Feld_out";"Wert_out";"Prioritaet";"Out_ID1"
"Feuerwehr.shp";"POI";1000;"Grundversorgung";"1000_001";"Feuerwehr";"Point";"nurGeometrie";"ATKIS";"AX_Gebaeude_polygon.shp";"GFK";"3072";3;"OldID_str"
"Strassennetz.shp";"Netzwerke";9000;"Netzwerke";"9000_007";"Strassennetz";"Line";"MaxSp";"OSM";"roads.shp";"maxspeed";"";1;"OldID_str"
"Museum.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_010";"Museum";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"GFK";"3034";3;"OldID_str"
"Museum.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_010";"Museum";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4250";3;"OldID_str"
"Museum.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_010";"Museum";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"WGF";"1120";3;"OldID_str"
"Park.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_011";"Park";"Point";"nurGeometrie";"ATKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4420";3;"OldID_str"
"Pflegeeinrichtung.shp";"POI";2000;"Gesundheit";"2000_004";"Pflegeeinrichtung";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"GFK";"3050";3;"OldID_str"
"Pflegeeinrichtung.shp";"POI";2000;"Gesundheit";"2000_004";"Pflegeeinrichtung";"Point";"nurGeometrie";"ALKIS";"AX_Gebaeude.shp";"GFK";"1022";3;"OldID_str"
"Pflegeeinrichtung.shp";"POI";2000;"Gesundheit";"2000_004";"Pflegeeinrichtung";"Point";"nurGeometrie";"ALKIS";"AX_Gebaeude.shp";"GFK";"3052";3;"OldID_str"
"Pflegeeinrichtung.shp";"POI";2000;"Gesundheit";"2000_004";"Pflegeeinrichtung";"Point";"Spezi";"ATKIS/ALKIS";"AX_Gebaeude.shp";"GFK";"";3;"OldID_str"
"PKWParkplatz.shp";"POI";5000;"Mobilitaet";"5000_004";"PKWParkplatz";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Platz.shp";"FKT";"5310";3;"OldID_str"
"Polizei.shp";"POI";1000;"Grundversorgung";"1000_004";"Polizei";"Point";"nurGeometrie";"ALKIS";"AX_EinrichtungInOeffentlichenBereichen.shp";"ART";"1150";3;"OldID_str"
"Polizei.shp";"POI";1000;"Grundversorgung";"1000_004";"Polizei";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"GFK";"3071";3;"OldID_str"
"Polizei.shp";"POI";1000;"Grundversorgung";"1000_004";"Polizei";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"WGF";"1180";3;"OldID_str"
"Polizei.shp";"POI";1000;"Grundversorgung";"1000_004";"Polizei";"Point";"Spezi";"ALKIS";"AX_EinrichtungInOeffentlichenBereichen.shp";"ART";"";3;"OldID_str"
"Polizei.shp";"POI";1000;"Grundversorgung";"1000_004";"Polizei";"Point";"Spezi";"ATKIS/ALKIS";"AX_Gebaeude.shp";"GFK";"";3;"OldID_str"
"Polizei.shp";"POI";1000;"Grundversorgung";"1000_004";"Polizei";"Point";"Spezi";"ATKIS/ALKIS";"AX_Gebaeude.shp";"WGF";"";3;"OldID_str"
