"Objektartenbereich";"Objektartengruppe";"Objektartengruppe_N";"Objektart";"Objektart_N";"Geometry"
"POI";1000;"Grundversorgung";"1000_001";"Feuerwehr";"Point"
"POI";1000;"Grundversorgung";"1000_002";"Hydrant";"Point"
"POI";1000;"Grundversorgung";"1000_003";"Katastrophenschutz";"Point"
"POI";1000;"Grundversorgung";"1000_004";"Polizei";"Point"
"POI";1000;"Grundversorgung";"1000_005";"Rathaus";"Point"
"POI";1000;"Grundversorgung";"1000_006";"RecyclinghofSammelstelle";"Point"
"POI";1000;"Grundversorgung";"1000_007";"OeffentlicheTrinkwasserstelle";"Point"
"POI";2000;"Gesundheit";"2000_001";"Apotheke";"Point"
"POI";2000;"Gesundheit";"2000_002";"Arzt";"Point"
"POI";2000;"Gesundheit";"2000_003";"Krankenhaus";"Point"
"POI";2000;"Gesundheit";"2000_004";"Pflegeeinrichtung";"Point"
"POI";3000;"BildungBetreuung";"3000_001";"Berufsschule";"Point"
"POI";3000;"BildungBetreuung";"3000_002";"Forschungsinstitut";"Point"
"POI";3000;"BildungBetreuung";"3000_003";"Schule";"Point"
"POI";3000;"BildungBetreuung";"3000_004";"Hochschule";"Point"
"POI";3000;"BildungBetreuung";"3000_005";"Kindergarten";"Point"
"POI";3000;"BildungBetreuung";"3000_006";"Kita";"Point"
"POI";3000;"BildungBetreuung";"3000_007";"Tagesmutter";"Point"
"POI";3000;"BildungBetreuung";"3000_008";"Volkshochschule";"Point"
"POI";4000;"Soziales";"4000_001";"Asylbewerberheim";"Point"
"POI";4000;"Soziales";"4000_002";"BeratungsstelleHilfswerk";"Point"
"POI";4000;"Soziales";"4000_003";"Familienzentrum";"Point"
"POI";4000;"Soziales";"4000_004";"Jugendfreizeithaus";"Point"
"POI";4000;"Soziales";"4000_005";"Seniorentreff";"Point"
"POI";4000;"Soziales";"4000_006";"Integrationshilfe";"Point"
"POI";4000;"Soziales";"4000_007";"Studentenwohnheim";"Point"
"POI";4000;"Soziales";"4000_008";"Verein";"Point"
"POI";5000;"Mobilitaet";"5000_001";"Fernbahnhof";"Point"
"POI";5000;"Mobilitaet";"5000_002";"Fernbusbahnhof";"Point"
"POI";5000;"Mobilitaet";"5000_003";"Flughafen";"Point"
"POI";5000;"Mobilitaet";"5000_004";"PKWParkplatz";"Point"
"POI";5000;"Mobilitaet";"5000_005";"wichtigeVerkehrsengstelle";"Point"
"POI";5000;"Mobilitaet";"5000_006";"Bushaltestelle";"Point"
"POI";5000;"Mobilitaet";"5000_007";"UBahnTramHaltestelle";"Point"
"POI";5000;"Mobilitaet";"5000_008";"Fahrradparkplatz";"Point"
"POI";5000;"Mobilitaet";"5000_009";"FahrradLeihstation";"Point"
"POI";5000;"Mobilitaet";"5000_010";"CarSharingStation";"Point"
"POI";5000;"Mobilitaet";"5000_011";"SundRegionalBahnhof";"Point"
"POI";5000;"Mobilitaet";"5000_012";"Elektroladestation";"Point"
"POI";5000;"Mobilitaet";"5000_013";"Tankstelle";"Point"
"POI";5000;"Mobilitaet";"5000_014";"Taxistand";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_001";"Aussichtspunkt";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_002";"BarKneipe";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_003";"BibliothekBuchhandlung";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_004";"Club";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_005";"Friedhof";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_006";"Galerie";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_007";"Gotteshaus";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_008";"JagdundFischereigebiet";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_009";"Kino";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_010";"Museum";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_011";"Park";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_012";"RestaurantCafe";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_013";"SchwimmbadBadestelle";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_014";"Sehenswuerdigkeit";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_016";"Spielplatz";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_018";"Theater";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_019";"Tiergehege";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_020";"Touristeninformation";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_021";"Veranstaltungsort";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_022";"Weihnachtsmarkt";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_023";"Ausgleichsflaeche";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_024";"Schutzgebiet";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_025";"HotelHostel";"Point"
"POI";6000;"UnterhaltungSportNaherholung";"6000_026";"Wellness";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_001";"Baecker";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_002";"Bank";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_003";"EinkaufszentrumSonstigeShopping";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_004";"Friseur";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_005";"Geldautomat";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_006";"Kiosk";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_007";"Post";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_008";"Reinigung";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_009";"SchusterSchluesseldienst";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_010";"Wochenmarkt";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_011";"Lebensmittelgeschaeft";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_012";"Anwalt";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_013";"Finanzberater";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_014";"Tierarzt";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_015";"Rotlicht";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_016";"Gluecksspiel";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_017";"OeffentlicheToiletten";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_018";"Videothek";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_019";"Fahrschule";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_020";"NagelstudioKosmetik";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_021";"HandwerkVerschiedene";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_022";"Autohandel";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_023";"Bestattung";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_024";"OptikerHoergeraete";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_025";"Schneider";"Point"
"POI";7000;"EinkaufenDienstleistung";"7000_999";"POI_Gitter";"Polygon"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_001";"Untersuchungsgebiet";"Polygon"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_002";"Kommune";"Polygon"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_003";"Postleitzahlgebiet";"Polygon"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_004";"Stadtteil";"Polygon"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_005";"StatistischeBezirkWahlbezirk";"Polygon"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_006";"Richtwertzone";"Polygon"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_007";"Quartier";"Polygon"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_008";"Bauleitplanung";"Polygon"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_009";"Baublock";"Polygon"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_010";"Adresse";"Polygon"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_011";"Adresskoordinate";"Point"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_012";"Person";"Point"
"PlanungsEinheiten";8000;"PlanungsEinheiten";"8000_999";"PlanungsEinheiten_Gitter";"Polygon"
"Netzwerke";9000;"Netzwerke";"9000_001";"Ampel";"Point"
"Netzwerke";9000;"Netzwerke";"9000_002";"Dauerbaustellen";"Point"
"Netzwerke";9000;"Netzwerke";"9000_003";"Barrieren";"Point"
"Netzwerke";9000;"Netzwerke";"9000_004";"Fahrradwegenetz";"Line"
"Netzwerke";9000;"Netzwerke";"9000_005";"FussWanderwege";"Line"
"Netzwerke";9000;"Netzwerke";"9000_006";"LiniennetzOePNV";"Line"
"Netzwerke";9000;"Netzwerke";"9000_007";"Strassennetz";"Line"
"Netzwerke";9000;"Netzwerke";"9000_008";"Trinkwasserleitung";"Line"
"Netzwerke";9000;"Netzwerke";"9000_009";"Abwasserleitung";"Line"
"Netzwerke";9000;"Netzwerke";"9000_010";"Gasleitung";"Line"
"Netzwerke";9000;"Netzwerke";"9000_011";"Fernwaemeleitung";"Line"
"Netzwerke";9000;"Netzwerke";"9000_012";"Stromleitung";"Line"
"Netzwerke";9000;"Netzwerke";"9000_013";"Breitbandleitung";"Line"
"Netzwerke";9000;"Netzwerke";"9000_014";"Unfall";"Point"
"Netzwerke";9000;"Netzwerke";"9000_999";"Netzwerke_Gitter";"Polygon"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_001";"Biogasanlage";"Point"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_002";"KraftwerkFabrik";"Point"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_003";"Deponie";"Point"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_004";"Klaerschlammausbringung";"Point"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_005";"Klaerwerk";"Point"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_006";"Kraftwaermekopplungsanlagen";"Point"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_007";"Solaranlage";"Point"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_008";"Pumpstation";"Point"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_009";"Windkraftanlage";"Point"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_010";"Fliessgewaesser";"Polygon"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_011";"StehendeGewaesser";"Polygon"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_012";"Landnutzung";"Polygon"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_013";"Schutzgebietsflaeche";"Polygon"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_014";"Gruenflaeche";"Polygon"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_015";"Wildgehegeflaeche";"Polygon"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_016";"Allee";"Line"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_017";"Laermbelastung";"Polygon"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_018";"Luftschadstoffe";"Polygon"
"UmweltVersorgung";1100;"UmweltVersorgung";"1100_999";"UmweltVersorgung_Gitter";"Polygon"
"AnalysenErgebnisse";1200;"AnalysenErgebnisse";"1200_001";"Wohlfuehlpunkt";"Point"
