varName;deutsch;english
map;Karte;Map
loadDataHeader;Daten laden;Load data
provDat;Datenordner wÑhlen;Select data folder
modDatName;Name des Ordners eingeben, in dem Simulationsdaten gespeichert werden;Type name of the folder to which simulation data will be saved
topicSel;Themenbereich auswÑhlen;Select topic
analysisResFolder;Analysen und Ergebnisse;Analyses and Results
networkFolder;Netzwerke;Networks
planingEntitiesFolder;Planungseinheiten;Planning entities
poisFolder;Punkte von Intresse;Points of Interest
environFolder;Umwelt und Versorgung;Environment and basic services
lyrSel;Themenauswahl;Topic selection
selModFolder;Simulationsdatenordner angeben;Specify simulation data folder
selModFolderExpl;Die Daten sollten fÅr die Simulation aufbereitet in diesem Ordner vorliegen.;Data should allready be prepared and ready to use in the simulation.
okMes;Fertig;Ok
mapLyr;Kartenlayer;Map layers
Feuerwehr;Feuerwehr;needsTranslation
Hydrant;Hydrant;needsTranslation
Katastrophenschutz;Katastrophenschutz;needsTranslation
Polizei;Polizei;needsTranslation
Rathaus;Rathaus;needsTranslation
RecyclinghofSammelstelle;Recyclinghof/Sammelstelle;needsTranslation
OeffentlicheTrinkwasserstelle;ôffentliche Trinkwasserstelle;needsTranslation
Apotheke;Apotheke;needsTranslation
Arzt;Arzt;needsTranslation
Krankenhaus;Krankenhaus;needsTranslation
Pflegeeinrichtung;Pflegeeinrichtung;needsTranslation
Berufsschule;Berufsschule;needsTranslation
Forschungsinstitut;Forschungsinstitut;needsTranslation
Schule;Schule;needsTranslation
Hochschule;Hochschule;needsTranslation
Kindergarten;Kindergarten;needsTranslation
Kita;Kita;needsTranslation
Tagesmutter;Tagesmutter;needsTranslation
Volkshochschule;Volkshochschule;needsTranslation
Asylbewerberheim;Asylbewerberheim;needsTranslation
BeratungsstelleHilfswerk;Beratungsstelle/Hilfswerk;needsTranslation
Familienzentrum;Familienzentrum;needsTranslation
Jugendfreizeithaus;Jugendfreizeithaus;needsTranslation
Seniorentreff;Seniorentreff;needsTranslation
Integrationshilfe;Integrationshilfe;needsTranslation
Studentenwohnheim;Studentenwohnheim;needsTranslation
