"rootList";"rootListDeutsch";"rootListEnglish";"subList1";"subList1Deutsch";"subList1English";"subList2";"subList2Deutsch";"subList2English";"path";"col";"calcAccess";"calcEucDist";"creatableFacility";"actionPointCost"
"POI";"Punkte von Interesse";"Points of interest";"Grundversorgung";"Grundversorgung";"Basic services";"Feuerwehr";"Feuerwehr";"Fire station";"POI/1000_Grundversorgung/1000_001_Feuerwehr.shp";"grey";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"Grundversorgung";"Grundversorgung";"Basic services";"Hydrant";"Hydrant";"Hydrant";"POI/1000_Grundversorgung/1000_002_Hydrant.shp";"grey";1;1;1;1
"POI";"Punkte von Interesse";"Points of interest";"Grundversorgung";"Grundversorgung";"Basic services";"Katastrophenschutz";"Katastrophenschutz";"Disaster control";"POI/1000_Grundversorgung/1000_003_Katastrophenschutz.shp";"grey";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"Grundversorgung";"Grundversorgung";"Basic services";"Polizei";"Polizei";"Police station";"POI/1000_Grundversorgung/1000_004_Polizei.shp";"grey";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"Grundversorgung";"Grundversorgung";"Basic services";"Rathaus";"Rathaus";"City hall";"POI/1000_Grundversorgung/1000_005_Rathaus.shp";"grey";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"Grundversorgung";"Grundversorgung";"Basic services";"RecyclinghofSammelstelle";"Recyclinghof/Sammelstelle";"Recylcing site";"POI/1000_Grundversorgung/1000_006_RecyclinghofSammelstelle.shp";"grey";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"Grundversorgung";"Grundversorgung";"Basic services";"OeffentlicheTrinkwasserstelle";"Öffentliche Trinkwasserstelle";"Public drinking water";"POI/1000_Grundversorgung/1000_007_OeffentlicheTrinkwasserstelle.shp";"grey";1;1;1;1
"POI";"Punkte von Interesse";"Points of interest";"Gesundheit";"Gesundheit";"Healthcare";"Apotheke";"Apotheke";"Pharmacy";"POI/2000_Gesundheit/2000_001_Apotheke.shp";"coral";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"Gesundheit";"Gesundheit";"Healthcare";"Arzt";"Arzt";"Medical doctor";"POI/2000_Gesundheit/2000_002_Arzt.shp";"coral";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"Gesundheit";"Gesundheit";"Healthcare";"Krankenhaus";"Krankenhaus";"Hospital";"POI/2000_Gesundheit/2000_003_Krankenhaus.shp";"coral";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"Gesundheit";"Gesundheit";"Healthcare";"Pflegeeinrichtung";"Pflegeeinrichtung";"Healthcare center";"POI/2000_Gesundheit/2000_004_Pflegeeinrichtung.shp";"coral";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"BildungBetreuung";"Bildung/Betreuung";"Education";"Berufsschule";"Berufsschule";"Vocational school";"POI/3000_BildungBetreuung/3000_001_Berufsschule.shp";"cyan";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"BildungBetreuung";"Bildung/Betreuung";"Education";"Forschungsinstitut";"Forschungsinstitut";"Research facility";"POI/3000_BildungBetreuung/3000_002_Forschungsinstitut.shp";"cyan";1;1;1;5
"POI";"Punkte von Interesse";"Points of interest";"BildungBetreuung";"Bildung/Betreuung";"Education";"Schule";"Schule";"School";"POI/3000_BildungBetreuung/3000_003_Schule.shp";"cyan";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"BildungBetreuung";"Bildung/Betreuung";"Education";"Hochschule";"Hochschule";"University";"POI/3000_BildungBetreuung/3000_004_Hochschule.shp";"cyan";1;1;1;8
"POI";"Punkte von Interesse";"Points of interest";"BildungBetreuung";"Bildung/Betreuung";"Education";"Kindergarten";"Kindergarten";"Kindergarten";"POI/3000_BildungBetreuung/3000_005_Kindergarten.shp";"cyan";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"BildungBetreuung";"Bildung/Betreuung";"Education";"Kita";"Kita";"Daycare center";"POI/3000_BildungBetreuung/3000_006_Kita.shp";"cyan";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"BildungBetreuung";"Bildung/Betreuung";"Education";"Tagesmutter";"Tagesmutter";"Daycare parent";"POI/3000_BildungBetreuung/3000_007_Tagesmutter.shp";"cyan";1;1;1;2
"POI";"Punkte von Interesse";"Points of interest";"BildungBetreuung";"Bildung/Betreuung";"Education";"Volkshochschule";"Volkshochschule";"Adult education center";"POI/3000_BildungBetreuung/3000_008_Volkshochschule.shp";"cyan";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"Soziales";"Soziales";"Social services";"Asylbewerberheim";"Asylbewerberheim";"Refugee shelter";"POI/4000_Soziales/4000_001_Asylbewerberheim.shp";"red";1;1;1;3
"POI";"Punkte von Interesse";"Points of interest";"Soziales";"Soziales";"Social services";"BeratungsstelleHilfswerk";"Beratungsstelle/Hilfswerk";"Social advice center";"POI/4000_Soziales/4000_002_BeratungsstelleHilfswerk.shp";"red";1;1;1;2
"POI";"Punkte von Interesse";"Points of interest";"Soziales";"Soziales";"Social services";"Familienzentrum";"Familienzentrum";"Family center";"POI/4000_Soziales/4000_003_Familienzentrum.shp";"red";1;1;1;2
