fileName;sourceName;targetName
Mappe1;STRABSCHID;irgendwas
OSMData_roads;fclass;highway
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_point_combined;bauwerksfu;BWF
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_point;bauwerksfunktion;BWF
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe;bauwerksfunktion;BWF
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_point;bauwerksfu;BWF
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe;bauwerksfu;BWF
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe;OBJID;gml_id
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_point;OBJID;gml_id
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_polygon;bauwerksfunktion;BWF
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_polygon;bauwerksfu;BWF
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe_polygon;OBJID;gml_id
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung;bauwerksfunktion;BWF
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung;bauwerksfu;BWF
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung;OBJID;gml_id
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung_poi;bauwerksfunktion;BWF
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung_poi;bauwerksfu;BWF
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung_poi;OBJID;gml_id
AX_EinrichtungInOeffentlichenBereichen;OBJID;gml_id
AX_FlaecheBesondererFunktionalerPraegung;OBJID;gml_id
AX_FlaecheBesondererFunktionalerPraegung;funktion;FKT
AX_FlaecheBesondererFunktionalerPraegung;OBJID;gml_id
AX_FlaecheBesondererFunktionalerPraegung;funktion;FKT
AX_FlaecheBesondererFunktionalerPraegung_polygon;OBJID;gml_id
AX_FlaecheBesondererFunktionalerPraegung_polygon;funktion;FKT
AX_Fliessgewaesser;OBJID;gml_id
AX_Fliessgewaesser;funktion;FKT
AX_Fliessgewaesser_polygon;funktion;FKT
AX_Fliessgewaesser_polygon;OBJID;gml_id
AX_Flugverkehr;OBJID;gml_id
AX_Flugverkehrsanlage;OBJID;gml_id
AX_Friedhof;OBJID;gml_id
AX_Friedhof;funktion;FKT
AX_Friedhof_polygon;funktion;FKT
AX_Friedhof_polygon;OBJID;gml_id
AX_Gebaeude;gebaeudefunktion;GFK
AX_Gebaeude;gebaeudefu;GFK
AX_Gebaeude;weitereGebaeudefunktion;WGF
AX_Gebaeude;weitereGeb;WGF
AX_Gebaeude;baujahr;BJA
AX_Gebaeude;OBJID;gml_id
AX_Gebaeude_polygon;gebaeudefu;GFK
AX_Gebaeude_polygon;weitereGeb;WGF
AX_Gebaeude_polygon;gebaeudefunktion;GFK
AX_Gebaeude_polygon;weitereGebaeudefunktion;WGF
AX_Gebaeude_polygon;gebaeudefu;GFK
AX_Gebaeude_polygon;weitereGeb;WGF
AX_Gebaeude_polygon;baujahr;BJA
AX_Gebaeude_polygon;OBJID;gml_id
AX_IndustrieUndGewerbeflaeche;funktion;FKT
AX_IndustrieUndGewerbeflaeche;OBJID;gml_id
AX_IndustrieUndGewerbeflaeche_polygon;funktion;FKT
AX_IndustrieUndGewerbeflaeche_polygon;OBJID;gml_id
AX_Leitung;OBJID;gml_id
AX_NaturUmweltOderBodenschutzrecht;OBJID;gml_id
AX_NaturUmweltOderBodenschutzrecht;artDerFestlegung;ADF
AX_NaturUmweltOderBodenschutzrecht;artDerFest;ADF
AX_Platz;OBJID;gml_id
AX_Platz;funktion;FKT
AX_Platz_polygon;funktion;FKT
AX_Platz_polygon;OBJID;gml_id
AX_SchutzgebietNachNaturUmweltOderBodenschutzrecht;OBJID;gml_id
AX_SchutzgebietNachNaturUmweltOderBodenschutzrecht;artDerFestlegung;ADF
AX_SchutzgebietNachNaturUmweltOderBodenschutzrecht;artDerFest;ADF
AX_SchutzgebietNachWasserrecht;OBJID;gml_id
AX_SchutzgebietNachWasserrecht;artDerFestlegung;ADF
AX_SchutzgebietNachWasserrecht;artDerFest;ADF
AX_Schutzzone;OBJID;gml_id
AX_Schutzzone;artDerFestlegung;ADF
AX_Schutzzone;artDerFest;ADF
AX_SportFreizeitUndErholungsflaeche;funktion;FKT
AX_SportFreizeitUndErholungsflaeche;OBJID;gml_id
AX_SportFreizeitUndErholungsflaeche_polygon;funktion;FKT
AX_SportFreizeitUndErholungsflaeche_polygon;OBJID;gml_id
AX_StehendesGewaesser;OBJID;gml_id
AX_StehendesGewaesser;funktion;FKT
AX_Strasse;OBJID;gml_id
AX_Weg;OBJID;gml_id
AX_Weg;funktion;FKT
AX_WegPfadSteig;OBJID;gml_id
Baubloecke;FLõCHE__HA;FLAECHE
stadtteile;FLõCHE__HA;FLAECHE
stadtteile;FLõCHE;FLAECHE
