sourceName;targetName
gis.osm_buildings_a_free_1;OSMData_buildings
gis.osm_landuse_a_free_1;OSMData_landuse
gis.osm_natural_a_free_1;OSMData_natural
gis.osm_places_a_free_1;OSMData_places
gis.osm_pofw_a_free_1;OSMData_pofw
gis.osm_pois_a_free_1;OSMData_pois
gis.osm_railways_a_free_1;OSMData_railways
gis.osm_roads_a_free_1;OSMData_roads
gis.osm_traffic_a_free_1;OSMData_traffic
gis.osm_transport_a_free_1;OSMData_transport
gis.osm_water_a_free_1;OSMData_water
gis.osm_waterways_a_free_1;OSMData_waterways
gisosm_buildings_a_free_1;OSMData_buildings
gisosm_landuse_a_free_1;OSMData_landuse
gisosm_natural_a_free_1;OSMData_natural
gisosm_places_a_free_1;OSMData_places
gisosm_pofw_a_free_1;OSMData_pofw
gisosm_pois_a_free_1;OSMData_pois
gisosm_railways_a_free_1;OSMData_railways
gisosm_roads_a_free_1;OSMData_roads
gisosm_traffic_a_free_1;OSMData_traffic
gisosm_transport_a_free_1;OSMData_transport
gisosm_water_a_free_1;OSMData_water
gisosm_waterways_a_free_1;OSMData_waterways
gisosm_buildings_free_1;OSMData_buildings
gisosm_landuse_free_1;OSMData_landuse
gisosm_natural_free_1;OSMData_natural
gisosm_places_free_1;OSMData_places
gisosm_pofw_free_1;OSMData_pofw
gisosm_pois_free_1;OSMData_pois
gisosm_railways_free_1;OSMData_railways
gisosm_roads_free_1;OSMData_roads
gisosm_traffic_free_1;OSMData_traffic
gisosm_transport_free_1;OSMData_transport
gisosm_water_free_1;OSMData_water
gisosm_waterways_free_1;OSMData_waterways
Baubl”cke_2012;Baubloecke
