SourceFilename;TargetFilename;TargetAttributeName;TargetAttributeOrigin;TargetAttributeChanged
AX_Bahnverkehr.shp;Landnutzung.shp;Spezi;;Bahnverkehr
AX_Bahnverkehrsanlage.shp;Landnutzung.shp;Spezi;;VerkehrsBauwerk
AX_BauwerkImGewaesserbereich.shp;Landnutzung.shp;Spezi;;Gewaesserbauwerk
AX_BauwerkImVerkehrsbereich.shp;Landnutzung.shp;Spezi;;VerkehrsBauwerk
AX_BauwerkOderAnlageFuerIndustrieUndGewerbe.shp;Landnutzung.shp;Spezi;;SonstigesBauwerk
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp;Landnutzung.shp;Spezi;;SonstigesBauwerk
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp;Landnutzung.shp;Spezi;1410;SportFreizeit
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp;Landnutzung.shp;Spezi;1420;SportFreizeit
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp;Landnutzung.shp;Spezi;1440;SportFreizeit
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp;Landnutzung.shp;Spezi;1480;SportFreizeit
AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp;Landnutzung.shp;Spezi;1510;Tiergehege
AX_Bergbaubetrieb.shp;Landnutzung.shp;Spezi;;Bergbau
AX_Boeschungsflaeche.shp;Landnutzung.shp;Spezi;;Boeschung
AX_Duene.shp;Landnutzung.shp;Spezi;;Duene
AX_EinrichtungenFuerDenSchiffsverkehr.shp;Landnutzung.shp;Spezi;;VerkehrsBauwerk
AX_FelsenFelsblockFelsnadel.shp;Landnutzung.shp;Spezi;;Fels
AX_FlaecheBesondererFunktionalerPraegung.shp;Landnutzung.shp;Versieg;1000;0
AX_FlaecheBesondererFunktionalerPraegung.shp;Landnutzung.shp;Versieg;2000;1
AX_FlaecheBesondererFunktionalerPraegung.shp;Landnutzung.shp;Spezi;;BesondereFunktionalePraegung
AX_FlaecheGemischterNutzung.shp;Landnutzung.shp;Versieg;1000;0
AX_FlaecheGemischterNutzung.shp;Landnutzung.shp;Versieg;2000;1
AX_FlaecheGemischterNutzung.shp;Landnutzung.shp;Spezi;;GemischteNutzung
AX_FlaecheZurZeitUnbestimmbar.shp;Landnutzung.shp;Spezi;;Unbestimmbar
AX_Fliessgewaesser.shp;Landnutzung.shp;Spezi;;Fliessgewaesser
AX_Flugverkehr.shp;Landnutzung.shp;Spezi;;Flugverkehr
AX_Flugverkehrsanlage.shp;Landnutzung.shp;Spezi;;VerkehrsBauwerk
AX_Friedhof.shp;Landnutzung.shp;Spezi;;Friedhof
AX_Gehoelz.shp;Landnutzung.shp;Spezi;;Gehoelz
AX_Gewaessermerkmal.shp;Landnutzung.shp;Spezi;1610;Quelle
AX_Gewaessermerkmal.shp;Landnutzung.shp;Spezi;1620;Wasserfall
AX_Gewaessermerkmal.shp;Landnutzung.shp;Spezi;1630;Stromschnelle
AX_Gewaessermerkmal.shp;Landnutzung.shp;Spezi;1640;Sandbank
AX_Gewaessermerkmal.shp;Landnutzung.shp;Spezi;1650;Watt
AX_Gewaessermerkmal.shp;Landnutzung.shp;Spezi;1660;Priel
AX_Hafen.shp;Landnutzung.shp;Spezi;;Hafen
AX_Hafenbecken.shp;Landnutzung.shp;Spezi;;Hafenbecken
AX_Halde.shp;Landnutzung.shp;Spezi;;Halde
AX_Heide.shp;Landnutzung.shp;Spezi;;Heide
AX_HistorischesBauwerkOderHistorischeEinrichtung.shp;Landnutzung.shp;Spezi;;HistorischesBauwerk
AX_IndustrieUndGewerbeflaeche.shp;Landnutzung.shp;Spezi;;IndustrieGewerbe
AX_Landwirtschaft.shp;Landnutzung.shp;Spezi;1010;Ackerland
AX_Landwirtschaft.shp;Landnutzung.shp;Spezi;1011;Streuobstacker
AX_Landwirtschaft.shp;Landnutzung.shp;Spezi;1012;Hopfenacker
AX_Landwirtschaft.shp;Landnutzung.shp;Spezi;1020;Gruenland
AX_Landwirtschaft.shp;Landnutzung.shp;Spezi;1021;Streuobstwiese
AX_Landwirtschaft.shp;Landnutzung.shp;Spezi;1030;Gartenland
AX_Landwirtschaft.shp;Landnutzung.shp;Spezi;1031;Baumschule
AX_Landwirtschaft.shp;Landnutzung.shp;Spezi;1040;Weingarten
AX_Landwirtschaft.shp;Landnutzung.shp;Spezi;1050;Obstplantage
AX_Meer.shp;Landnutzung.shp;Spezi;;Meer
AX_Moor.shp;Landnutzung.shp;Spezi;;Moor
AX_Platz.shp;Landnutzung.shp;Spezi;;Platz
AX_Polder.shp;Landnutzung.shp;Spezi;;Polder
AX_Schiffsverkehr.shp;Landnutzung.shp;Spezi;;Schiffsverkehr
AX_Schleuse.shp;Landnutzung.shp;Spezi;;Schleuse
AX_SportFreizeitUndErholungsflaeche.shp;Landnutzung.shp;Spezi;;SportFreizeitUndErholung
AX_StehendesGewaesser.shp;Landnutzung.shp;Spezi;;StehendesGewaesser
AX_Strassenverkehr.shp;Landnutzung.shp;Spezi;;Strassenverkehr
AX_Strassenverkehrsanlage.shp;Landnutzung.shp;Spezi;;VerkehrsBauwerk
AX_Sumpf.shp;Landnutzung.shp;Spezi;;Sumpf
AX_TagebauGrubeSteinbruch.shp;Landnutzung.shp;Spezi;;TagebauGrubeSteinbruch
AX_Testgelaende.shp;Landnutzung.shp;Spezi;;Testgelaende
AX_Transportanlage.shp;Leitung.shp;Spezi;1110;Erdoel
AX_Transportanlage.shp;Leitung.shp;Spezi;1120;Gas
AX_Transportanlage.shp;Leitung.shp;Spezi;1130;Wasser
AX_Transportanlage.shp;Leitung.shp;Spezi;1131;Trinkwasser
AX_Transportanlage.shp;Leitung.shp;Spezi;1132;Brauchwasser
AX_Transportanlage.shp;Leitung.shp;Spezi;1133;Abwasser
AX_Turm.shp;Landnutzung.shp;Spezi;;SonstigesBauwerk
AX_UnlandVegetationsloseFlaeche.shp;Landnutzung.shp;Spezi;1000;Vegetationslos
AX_UnlandVegetationsloseFlaeche.shp;Landnutzung.shp;Spezi;1100;Gewaesserbegleitflaeche
AX_UnlandVegetationsloseFlaeche.shp;Landnutzung.shp;Spezi;1200;Sukessionsflaeche
AX_UnlandVegetationsloseFlaeche.shp;Landnutzung.shp;Spezi;1300;NaturnaheFlaeche
AX_UnlandVegetationsloseFlaeche.shp;Landnutzung.shp;Spezi;;UnlandVegetationslos
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1011;Nadelholz
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1012;Laubholz
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1021;Laubholz
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1022;Nadelholz
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1023;Mischholz
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1100;Hecke
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1210;Laubholz
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1220;Nadelholz
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1230;Mischholz
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1250;Gehoelz
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1260;Gebuesch
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1300;Schneise
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1400;RoehrichtSchilf
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1500;Gras
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;1900;Streuobst
AX_Vegetationsmerkmal.shp;Landnutzung.shp;Spezi;5000;NasseVegetation
AX_Wald.shp;Landnutzung.shp;Spezi;1100;Laubholz
AX_Wald.shp;Landnutzung.shp;Spezi;1200;Nadelholz
AX_Wald.shp;Landnutzung.shp;Spezi;1300;Mischholz
AX_Wohnbauflaeche.shp;Landnutzung.shp;Spezi;1000;WohnbauflaecheOffen
AX_Wohnbauflaeche.shp;Landnutzung.shp;Spezi;2000;WohnbauflaecheGeschlossen
AX_Wohnbauflaeche.shp;Landnutzung.shp;Versieg;1000;0
AX_Wohnbauflaeche.shp;Landnutzung.shp;Versieg;2000;1
OSM_roads.shp;Strassennetz.shp;Bruecke;T;1
OSM_roads.shp;Strassennetz.shp;Tunnel;T;1
OSM_roads.shp;Strassennetz.shp;Einbahn;T;1
OSMData_osm_pt_amenity.shp;Arzt.shp;Spezi;dentist;Zahnarzt
OSMData_buildings.shp;Arzt.shp;Spezi;dentist;Zahnarzt
